age,height,weight,gender,status
6,97,14,M,fit
30,188,94,F,not_fit
26,151,94,F,not_fit
29,169,86,M,not_fit
10,151,42,M,fit
5,123,34,M,fit
17,131,60,M,not_fit
30,166,110,M,not_fit
12,145,69,F,not_fit
21,171,92,M,not_fit
8,100,15,M,fit
12,135,56,F,not_fit
18,174,79,F,not_fit
7,123,21,F,not_fit
14,178,43,F,not_fit
20,153,48,F,fit
32,183,76,M,fit
40,167,100,M,not_fit
20,190,58,M,fit
24,162,87,M,not_fit
35,188,93,F,not_fit
7,99,16,F,fit
10,167,36,F,not_fit
26,157,55,F,fit
30,179,45,M,fit
10,135,64,M,not_fit
16,140,64,M,not_fit
22,164,98,M,not_fit
27,164,81,M,not_fit
32,174,49,M,fit
14,165,38,F,not_fit
24,184,91,F,not_fit
11,146,41,F,fit
17,162,35,F,not_fit
18,155,99,M,not_fit
29,186,54,M,fit
11,179,69,F,fit
29,162,79,M,not_fit
20,173,87,M,not_fit
32,171,54,M,fit
40,154,65,M,not_fit
33,182,58,F,fit
40,151,96,M,not_fit
11,141,43,F,fit
38,186,110,F,not_fit
12,160,33,M,not_fit
37,173,106,M,not_fit
37,153,108,F,not_fit
36,161,57,F,fit
39,178,87,M,not_fit
17,162,68,F,not_fit
20,161,64,F,fit
29,188,52,M,fit
23,184,92,F,not_fit
37,167,64,M,fit
32,161,66,M,not_fit
35,187,71,M,fit
25,154,65,M,not_fit
26,175,98,M,not_fit
20,165,48,F,fit
6,140,33,F,fit
11,165,47,F,fit
5,100,16,M,fit
40,171,56,M,fit
9,121,20,M,not_fit
37,166,70,F,not_fit
8,120,29,F,fit
30,184,88,M,not_fit
22,157,66,F,not_fit
33,188,89,F,not_fit
34,185,90,M,not_fit
19,151,45,F,fit
31,166,89,M,not_fit
15,133,36,F,fit
36,157,82,F,not_fit
13,130,48,M,not_fit
38,178,85,M,not_fit
12,131,33,F,fit
19,180,81,M,fit
20,167,65,M,fit
34,167,50,M,fit
30,167,69,F,fit
38,182,65,M,fit
22,188,84,F,fit
5,124,20,M,not_fit
13,158,48,M,fit
26,160,84,M,not_fit
30,155,51,M,fit
25,176,86,M,not_fit
10,142,42,M,fit
18,183,95,M,not_fit
24,161,61,F,fit
5,137,17,F,not_fit
23,182,68,F,fit
32,165,60,M,fit
23,180,88,F,not_fit
40,183,63,M,fit
25,188,110,M,not_fit
8,132,15,M,not_fit
25,182,84,F,not_fit
30,160,73,F,not_fit
20,176,47,F,fit
23,162,106,F,not_fit
5,101,14,M,not_fit
34,169,68,M,fit
20,155,55,M,fit
8,130,20,M,not_fit
39,168,81,F,not_fit
22,161,72,F,not_fit
37,174,94,M,not_fit
20,179,89,F,not_fit
17,145,41,M,fit
15,130,38,M,fit
37,163,99,M,not_fit
30,178,64,F,fit
14,165,45,F,fit
9,100,13,M,not_fit
24,173,93,F,not_fit
26,173,103,M,not_fit
40,168,78,F,not_fit
21,176,50,M,fit
35,187,91,M,not_fit
15,144,61,F,not_fit
20,166,108,F,not_fit
22,158,89,F,not_fit
19,184,53,F,fit
7,113,30,F,fit
9,136,24,F,not_fit
5,125,32,F,fit
37,161,94,M,not_fit
23,164,51,M,fit
37,163,83,F,not_fit
32,151,86,M,not_fit
14,157,51,F,fit
40,184,70,M,fit
31,184,64,M,fit
18,172,107,M,not_fit
14,150,32,F,fit
39,166,78,M,not_fit
9,133,13,F,not_fit
33,154,106,M,not_fit
16,179,69,F,fit
6,109,24,M,fit
24,165,89,F,not_fit
24,181,60,F,fit
34,189,103,M,not_fit
34,159,90,M,not_fit
7,120,30,F,fit
22,170,47,F,fit
34,155,74,M,not_fit
12,156,67,F,not_fit
19,184,99,M,not_fit
37,165,71,M,not_fit
35,179,52,F,fit
38,184,78,F,fit
14,156,48,M,fit
30,169,54,F,fit
37,187,71,M,fit
17,166,46,F,fit
11,176,64,F,fit
14,166,42,F,fit
32,168,85,M,not_fit
28,168,89,F,not_fit
8,128,34,M,fit
26,177,97,M,not_fit
8,114,35,M,not_fit
15,132,31,M,fit
8,116,20,M,fit
18,158,86,F,not_fit
6,92,14,F,fit
31,173,47,F,fit
26,163,106,M,not_fit
27,190,57,M,fit
31,188,96,F,not_fit
37,154,95,M,not_fit
18,158,95,M,not_fit
5,121,12,F,not_fit
19,158,109,M,not_fit
15,166,31,M,not_fit
7,113,20,M,fit
6,127,20,M,not_fit
38,157,73,M,not_fit
13,148,66,F,not_fit
8,132,20,M,not_fit
30,182,85,F,not_fit
35,187,59,M,fit
16,162,32,M,not_fit
36,179,102,F,not_fit
36,155,64,F,not_fit
32,166,73,M,not_fit
15,165,47,F,fit
11,176,34,M,not_fit
13,177,60,F,fit
17,148,43,M,fit
9,93,22,M,not_fit
17,133,52,M,not_fit
21,188,48,F,not_fit
6,94,35,M,not_fit
40,172,73,M,fit
20,175,93,F,not_fit
9,102,18,M,fit
27,151,49,F,fit
17,142,59,M,not_fit
18,152,67,M,not_fit
12,138,31,M,fit
18,187,74,F,fit
5,127,19,F,not_fit
37,171,95,M,not_fit
33,177,56,M,fit
10,172,51,M,fit
9,99,23,M,fit
22,156,84,F,not_fit
27,167,68,F,fit
30,158,89,M,not_fit
5,94,29,M,not_fit
39,189,72,M,fit
19,151,91,F,not_fit
27,150,55,M,fit
31,164,94,F,not_fit
10,152,57,M,fit
15,157,44,M,fit
32,152,92,M,not_fit
35,165,102,F,not_fit
31,175,69,F,fit
38,159,53,M,fit
20,173,96,M,not_fit
36,183,109,F,not_fit
27,151,76,M,not_fit
12,177,40,F,not_fit
7,117,16,F,not_fit
24,163,102,M,not_fit
34,187,98,F,not_fit
29,189,92,F,not_fit
26,168,110,M,not_fit
14,144,70,F,not_fit
28,189,69,F,fit
27,181,79,M,fit
14,175,45,M,fit
7,125,18,F,not_fit
19,152,80,F,not_fit
14,170,57,F,fit
30,159,98,M,not_fit
38,165,83,M,not_fit
40,155,55,F,fit
29,156,79,M,not_fit
23,189,49,F,not_fit
10,164,50,M,fit
26,165,84,M,not_fit
5,125,12,M,not_fit
9,125,17,F,not_fit
17,166,40,M,fit
25,161,63,M,fit
19,181,83,F,not_fit
20,190,45,F,not_fit
5,140,23,F,not_fit
29,179,68,F,fit
9,131,22,F,not_fit
27,183,109,M,not_fit
24,188,100,M,not_fit
14,174,62,F,fit
11,152,63,F,not_fit
20,152,85,M,not_fit
15,176,36,M,not_fit
26,151,96,F,not_fit
18,164,102,M,not_fit
26,190,93,M,not_fit
15,136,33,F,fit
11,165,34,M,not_fit
24,168,56,F,fit
35,181,63,M,fit
27,161,72,F,not_fit
12,166,39,M,fit
25,190,106,F,not_fit
27,152,92,F,not_fit
21,184,84,M,fit
36,177,77,F,fit
35,155,93,F,not_fit
15,149,42,M,fit
9,111,19,M,fit
6,116,34,M,not_fit
20,152,84,M,not_fit
25,156,76,F,not_fit
39,187,106,M,not_fit
14,166,51,M,fit
26,159,54,M,fit
26,181,90,F,not_fit
29,181,58,M,fit
29,170,96,F,not_fit
30,153,59,M,not_fit
21,166,74,M,not_fit
12,156,65,M,not_fit
35,157,61,F,fit
33,164,92,M,not_fit
23,160,50,F,fit
30,187,103,M,not_fit
32,167,52,M,fit
18,177,46,M,fit
38,185,86,M,not_fit
21,189,104,M,not_fit
15,160,32,M,not_fit
14,152,65,M,not_fit
25,167,67,M,fit
10,139,44,M,fit
7,93,33,M,not_fit
39,172,75,F,not_fit
30,175,110,F,not_fit
25,190,51,F,fit
12,152,34,F,fit
13,147,69,M,not_fit
34,178,87,F,not_fit
13,167,40,M,fit
14,135,57,F,not_fit
22,153,98,F,not_fit
7,121,35,F,fit
8,111,21,F,fit
24,153,45,F,fit
18,168,81,F,not_fit
17,153,68,M,not_fit
30,164,93,F,not_fit
6,92,28,F,not_fit
13,159,47,F,fit
6,135,27,M,fit
24,161,71,F,not_fit
6,135,26,M,fit
37,174,89,F,not_fit
26,169,106,F,not_fit
36,167,58,F,fit
18,156,99,F,not_fit
32,156,107,M,not_fit
32,153,103,M,not_fit
16,178,62,F,fit
13,175,62,M,fit
5,138,28,F,fit
39,171,55,F,fit
5,139,16,M,not_fit
28,188,99,F,not_fit
20,178,102,F,not_fit
17,161,45,F,fit
23,166,82,M,not_fit
29,173,96,M,not_fit
39,182,105,M,not_fit
19,154,103,M,not_fit
20,156,58,M,fit
34,178,57,M,fit
34,179,104,F,not_fit
7,90,12,F,fit
16,174,55,M,fit
22,163,102,F,not_fit
22,157,100,F,not_fit
15,138,56,M,not_fit
19,185,61,F,fit
37,164,73,F,not_fit
20,152,92,M,not_fit
8,95,33,M,not_fit
22,161,63,F,fit
13,136,52,M,not_fit
23,168,76,F,not_fit
30,172,71,F,fit
36,188,102,F,not_fit
21,164,105,F,not_fit
9,101,19,F,fit
22,154,57,F,fit
7,114,26,F,fit
15,174,52,M,fit
14,179,59,F,fit
36,152,63,F,not_fit
18,162,103,M,not_fit
35,157,81,F,not_fit
39,181,48,F,fit
6,95,22,M,fit
21,168,75,F,not_fit
30,157,68,F,not_fit
32,173,89,F,not_fit
14,151,39,M,fit
26,171,82,F,not_fit
23,189,109,M,not_fit
25,174,71,F,fit
33,172,84,M,not_fit
15,179,44,M,not_fit
38,157,57,F,fit
10,169,62,M,fit
30,173,57,M,fit
37,190,50,F,not_fit
40,174,109,F,not_fit
7,114,28,F,fit
22,175,73,M,fit
20,159,80,F,not_fit
7,100,33,M,not_fit
19,173,101,M,not_fit
24,152,56,F,fit
9,112,33,M,not_fit
38,177,93,M,not_fit
33,186,83,M,fit
35,150,99,M,not_fit
29,154,98,M,not_fit
12,150,57,F,not_fit
8,117,28,F,fit
36,165,46,F,fit
22,180,45,M,not_fit
22,165,61,F,fit
22,153,58,F,fit
25,169,86,M,not_fit
9,138,12,M,not_fit
38,150,85,F,not_fit
38,154,83,M,not_fit
32,168,79,F,not_fit
22,187,105,F,not_fit
19,166,85,F,not_fit
33,190,80,F,fit
5,133,12,M,not_fit
27,154,48,M,fit
38,171,108,M,not_fit
40,186,49,F,fit
5,121,29,M,fit
21,180,45,F,not_fit
8,127,25,F,fit
16,167,37,M,not_fit
33,178,103,F,not_fit
37,158,108,F,not_fit
24,166,109,M,not_fit
33,168,50,M,fit
39,185,109,F,not_fit
20,167,68,M,fit
16,142,57,F,not_fit
9,121,28,M,fit
37,163,72,M,not_fit
23,162,91,F,not_fit
21,166,99,M,not_fit
7,132,28,F,fit
28,151,98,M,not_fit
37,153,64,F,not_fit
8,97,22,F,fit
21,188,55,F,fit
27,172,74,M,not_fit
29,184,56,M,fit
28,162,103,F,not_fit
19,157,88,M,not_fit
36,183,89,F,not_fit
25,155,48,F,fit
24,165,106,M,not_fit
7,110,23,M,fit
20,183,83,M,fit
39,179,56,F,fit
15,173,54,M,fit
19,152,84,M,not_fit
27,152,107,F,not_fit
33,188,105,F,not_fit
13,143,51,F,fit
15,144,47,M,fit
22,182,82,M,fit
5,135,32,F,fit
23,168,109,M,not_fit
36,190,106,M,not_fit
35,177,96,M,not_fit
30,166,73,F,not_fit
5,128,23,M,fit
20,179,80,F,fit
37,164,92,M,not_fit
37,172,97,M,not_fit
31,150,58,M,not_fit
34,177,57,F,fit
5,118,19,F,not_fit
16,152,70,F,not_fit
17,137,33,M,fit
27,150,73,F,not_fit
7,100,24,F,fit
34,182,47,F,fit
32,189,109,F,not_fit
17,164,44,F,fit
28,160,90,F,not_fit
36,185,75,F,fit
24,161,105,F,not_fit
35,186,91,F,not_fit
5,130,26,M,fit
24,158,81,M,not_fit
13,140,52,F,not_fit
29,181,53,M,fit
30,170,71,M,fit
23,169,65,M,fit
37,185,84,M,fit
31,171,48,F,fit
14,131,60,F,not_fit
19,165,82,F,not_fit
22,181,88,M,not_fit
23,172,101,M,not_fit
10,159,60,M,fit
19,158,82,F,not_fit
22,165,85,F,not_fit
24,160,81,F,not_fit
23,162,105,F,not_fit
9,96,13,F,fit
20,154,81,F,not_fit
14,159,64,M,not_fit
38,173,53,M,fit
7,107,14,M,not_fit
9,123,31,M,fit
15,163,63,F,fit
26,183,105,F,not_fit
19,157,50,M,fit
24,153,102,M,not_fit
28,170,80,F,not_fit
13,159,38,M,fit
18,153,91,M,not_fit
26,151,78,M,not_fit
23,176,90,M,not_fit
13,175,41,M,not_fit
7,99,22,M,fit
24,188,80,F,fit
25,179,94,F,not_fit
17,180,57,M,fit
33,189,84,M,fit
15,158,66,M,not_fit
37,174,75,M,fit
15,133,46,M,not_fit
13,154,67,F,not_fit
27,186,98,F,not_fit
15,159,69,F,not_fit
21,163,103,F,not_fit
24,172,87,F,not_fit
23,187,66,F,fit
33,157,46,F,fit
37,161,91,F,not_fit
8,140,18,M,not_fit
11,156,43,M,fit
32,161,83,F,not_fit
38,189,99,F,not_fit
21,153,81,M,not_fit
8,91,35,M,not_fit
22,184,81,F,fit
5,123,16,F,not_fit
24,179,103,M,not_fit
5,110,13,M,not_fit
6,90,24,M,not_fit
33,182,45,F,not_fit
18,164,63,M,fit
6,109,13,F,not_fit
16,159,53,F,fit
9,114,27,F,fit
39,150,101,F,not_fit
15,134,53,F,not_fit
32,160,94,F,not_fit
33,188,64,M,fit
35,171,85,F,not_fit
38,166,99,F,not_fit
20,158,93,M,not_fit
29,159,66,M,not_fit
28,157,60,M,fit
30,180,59,F,fit
17,140,43,F,fit
6,92,17,F,fit
21,168,48,F,fit
24,173,62,F,fit
22,182,74,F,fit
23,168,63,M,fit
36,181,78,M,fit
35,174,104,F,not_fit
22,178,94,M,not_fit
34,183,106,M,not_fit
20,182,93,M,not_fit
6,128,34,F,fit
22,170,93,F,not_fit
18,185,92,F,not_fit
7,99,32,M,not_fit
11,168,50,F,fit
12,157,67,M,not_fit
10,144,61,M,not_fit
10,172,64,M,fit
30,160,53,F,fit
21,182,84,M,not_fit
28,168,64,F,fit
23,175,94,F,not_fit
32,185,68,M,fit
6,135,32,M,fit
15,166,49,M,fit
34,172,47,M,fit
34,168,72,F,not_fit
27,154,76,F,not_fit
8,110,15,M,not_fit
9,90,26,M,not_fit
9,108,15,F,not_fit
8,139,19,M,not_fit
8,116,13,M,not_fit
34,173,110,F,not_fit
9,91,23,M,not_fit
35,159,84,F,not_fit
5,108,34,F,not_fit
39,160,61,M,fit
31,175,65,F,fit
30,178,96,F,not_fit
27,167,107,F,not_fit
13,161,67,M,not_fit
15,148,43,M,fit
11,175,31,M,not_fit
32,157,56,F,fit
16,160,60,F,fit
13,150,47,M,fit
38,176,109,F,not_fit
13,179,47,M,fit
10,177,57,M,fit
35,188,78,M,fit
30,188,72,M,fit
5,105,20,F,fit
12,154,31,F,not_fit
9,116,14,F,not_fit
18,184,57,M,fit
31,159,55,M,fit
35,158,81,M,not_fit
37,150,107,M,not_fit
20,161,76,F,not_fit
33,155,60,M,fit
16,140,51,M,not_fit
5,138,30,M,fit
30,172,78,F,not_fit
22,187,71,F,fit
12,160,60,F,fit
21,171,87,M,not_fit
8,104,23,M,fit
31,152,83,F,not_fit
32,165,99,F,not_fit
29,159,79,M,not_fit
40,158,81,F,not_fit
32,151,69,M,not_fit
10,153,63,F,not_fit
16,153,49,M,fit
24,183,80,M,fit
18,187,65,F,fit
8,110,25,F,fit
9,135,33,F,fit
